,title_ru,title_eng,year,genre,duration,country,director,quote,main_actors,rating_KinoPoisk,rating_IMDB,description
42,Мумия возвращается,The Mummy Returns,2001,"фэнтези, боевик, триллер, приключения",130 мин.,США,Стивен Соммерс,«Adventure Is Reborn»,"Брендан Фрейзер, Рэйчел Вайс, Джон Ханна, Арнольд Вослу, Одед Фер",7.773,6.4,"Прошло десять лет... Наш отважный герой, искатель приключений Рик О'Конелл, теперь богат, счастливо женат на прекрасной Эвелин и воспитывает своего восьмилетнего сына Алекса.Но злой рок не дает очаровательной семье О'Конеллов насладиться спокойной жизнью. Зловещий жрец Имхотеп снова восстал из мертвых! Теперь у Рика, Эвелин и малютки Алекса есть всего семь дней, чтобы спасти мир......"
43,Чужой,Alien,1979,"ужасы, фантастика, триллер",116 мин.,"Великобритания, США",Ридли Скотт,«В космосе твой крик никто не услышит...»,"Сигурни Уивер, Том Скеррит, Иэн Холм, Джон Хёрт, Гарри Дин Стэнтон",8.051,8.5,"В далеком будущем возвращающийся на Землю грузовой космический корабль перехватывает исходящий с неизвестной планеты неопознанный сигнал. Экипаж, в соответствии с основными инструкциями, обязан найти и исследовать источник сигнала. Оказавшись на планете, астронавты повсюду обнаруживают неопознанные предметы, по виду напоминающие гигантские коконы...."
44,Любовь и голуби,-,1984,"мелодрама, комедия",107 мин.,СССР,Владимир Меньшов,-,"Александр Михайлов, Нина Дорошина, Людмила Гурченко, Сергей Юрский, Наталья Тенякова",8.281,8,"Ликвидируя неисправность лебедки, Василий Кузякин получил травму и путевку на юг. Там он встретил роковую женщину Раису Захаровну и… вернулся Вася с курорта не к себе в деревню, а в дом Раисы Захаровны. Началась для него новая жизнь, в которой было много непонятного и интересного, но не было дома, где остались Надя, дети и голуби...."
45,Молчание ягнят,The Silence of the Lambs,1990,"триллер, детектив, криминал, драма, ужасы",118 мин.,США,Джонатан Демме,«From the terrifying best seller»,"Джоди Фостер, Энтони Хопкинс, Брук Смит, Скотт Гленн, Тед Левайн",7.749,8.6,"Психопат похищает и убивает молодых женщин по всему Среднему Западу. ФБР, уверенное, что все преступления совершены одним и тем же человеком, поручает агенту Клариссе Старлинг встретиться с заключенным-маньяком Ганнибалом Лектером, который мог бы помочь составить психологический портрет убийцы. Сам Лектер отбывает наказание за убийства и каннибализм. Он согласен помочь Клариссе лишь в том случае, если она попотчует его больное воображение подробностями своей личной жизни...."
46,Служебный роман,-,1977,"мелодрама, комедия, драма",159 мин.,СССР,Эльдар Рязанов,-,"Андрей Мягков, Алиса Фрейндлих, Светлана Немоляева, Олег Басилашвили, Лия Ахеджакова",8.303,8.3,"Анатолий Ефремович Новосельцев, рядовой служащий одного статистического управления - человек робкий и застенчивый. Ему хотелось бы получить вакантное место зав. отделом, но он не знает как подступиться к этому делу. Старый приятель Самохвалов советует ему приударить за Людмилой Прокофьевной Калугиной - сухарем в юбке и директором заведения...."
47,Игра,The Game,1997,"триллер, драма, детектив, приключения",129 мин.,США,Дэвид Финчер,«Вы готовы играть?»,"Майкл Дуглас, Шон Пенн, Дебора Кара Ангер, Джеймс Ребхорн, Питер Донат",8.253,7.7,"Николас Ван Ортон - само воплощение успеха. Он преуспевает, он невозмутим и спокоен, привык держать любую ситуацию под контролем. На день рождения Николас получает необычный подарок - билет для участия в «Игре».Ему обещают, что игра вернет яркие чувства, позволит ощутить вкус и остроту жизни. Вступив в игру, Николас начинает осознавать, что это игра всерьез, игра не на жизнь, а на смерть...."
48,Крестный отец,The Godfather,1972,"драма, криминал",175 мин.,США,Фрэнсис Форд Коппола,"«Настоящая сила не может быть дана, она может быть взята...»","Марлон Брандо, Аль Пачино, Джеймс Каан, Роберт Дювалл, Ричард С. Кастеллано",8.528,9.2,"Криминальная сага, повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов.Глава семьи, Дон Вито Корлеоне, выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл, герой войны, гордость семьи, не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам, но наступают иные времена, и появляются люди, желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение...."
49,Ван Хельсинг,Van Helsing,2004,"фэнтези, боевик, триллер, приключения",131 мин.,"США, Чехия, Румыния",Стивен Соммерс,-,"Хью Джекман, Кейт Бекинсейл, Ричард Роксбург, Дэвид Уэнэм, Шулер Хенсли",6.635,6,"Глубоко в Карпатах лежит таинственная страна Трансильвания - мир, в котором зло встречается на каждом шагу, мир, в котором опасность оживает с заходом солнца, и где монстры, живущие в глубине человеческих кошмаров, обретают форму. В этот мир попадает легендарный охотник на чудовищ Ван Хельсинг.В своей непрерывной битве против сил зла и за освобождение мира от порождений ада Ван Хельсинг, по заданию секретного общества, отправляется в Трансильванию, чтобы скрестить оружие со смертельно опасным, наделённым неведомой силой графом Дракулой. На помощь ему внезапно приходит бесстрашная Анна Валери, поставившая целью избавить свою семью от векового проклятья, наложенного убитым вампиром...."
50,Терминатор,The Terminator,1984,"фантастика, боевик, триллер",108 мин.,"Великобритания, США",Джеймс Кэмерон,«Твоё будущее в его руках»,"Арнольд Шварценеггер, Майкл Бин, Линда Хэмилтон, Пол Уинфилд, Лэнс Хенриксен",8.319,8.1,"История противостояния солдата Кайла Риза и киборга-терминатора, прибывших в 1984-й год из пост-апокалиптического будущего, где миром правят машины-убийцы, а человечество находится на грани вымирания. Цель киборга: убить девушку по имени Сара Коннор, чей ещё нерождённый сын к 2029 году выиграет войну человечества с машинами. Цель Риза: спасти Сару и остановить Терминатора любой ценой...."
51,Калашников,-,2020,"биография, история",104 мин.,Россия,Константин Буслов,-,"Юра Борисов, Ольга Лерман, Артур Смольянинов, Эльдар Калимулин, Виталий Хаев",7.631,6.6,"Калашников. Все знают эту фамилию, но не все знают, какой долгий и тернистый путь прошёл парень-самоучка, чтобы в 28 лет создать легендарный автомат АК-47, который по сей день является символом оружейной мысли нашего времени...."
52,Охотники за привидениями,Ghostbusters,1984,"фантастика, фэнтези, боевик, комедия",105 мин.,США,Айвен Райтман,«Кто-то борется с тараканами и насекомыми. Они очищают город от привидений»,"Билл Мюррей, Дэн Эйкройд, Сигурни Уивер, Харольд Рэмис, Рик Морэнис",7.563,7.8,"В конце двадцатого века оказывается, что в Нью - Йорке живут не только обычные граждане, но и... привидения. Многомиллионное население не может противостоять натиску сверхъестественного.В конце концов на пути бесчисленных монстров не остается никого - кроме троих ученых - парапсихологов, которым известно все о потустороннем мире, правда только в теории. И теперь им придется оставить пыльные кабинеты и применить свои знания на практике......"
53,Начало,Inception,2010,"фантастика, боевик, триллер, драма, детектив",148 мин.,"США, Великобритания",Кристофер Нолан,«Твой разум - место преступления»,"Леонардо ДиКаприо, Джозеф Гордон-Левитт, Эллиот Пейдж, Том Харди, Кэн Ватанабэ",8.662,8.8,"Кобб – талантливый вор, лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна, когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали его ценным игроком в привычном к предательству мире промышленного шпионажа, но они же превратили его в извечного беглеца и лишили всего, что он когда-либо любил. И вот у Кобба появляется шанс исправить ошибки. Его последнее дело может вернуть все назад, но для этого ему нужно совершить невозможное – инициацию. Вместо идеальной кражи Кобб и его команда спецов должны будут провернуть обратное. Теперь их задача – не украсть идею, а внедрить ее. Если у них получится, это и станет идеальным преступлением. Но никакое планирование или мастерство не могут подготовить команду к встрече с опасным противником, который, кажется, предугадывает каждый их ход. Врагом, увидеть которого мог бы лишь Кобб...."
54,Операция «Ы» и другие приключения Шурика,-,1965,"комедия, мелодрама, криминал",95 мин.,СССР,Леонид Гайдай,-,"Александр Демьяненко, Наталья Селезнёва, Алексей Смирнов, Юрий Никулин, Евгений Моргунов",8.454,8.5,"Студент Шурик попадает в самые невероятные ситуации: сражается с хулиганом Верзилой, весьма оригинальным способом готовится к экзамену и предотвращает «ограбление века», на которое идёт троица бандитов - Балбес, Трус и Бывалый...."
55,Титаник,Titanic,1997,"мелодрама, история, триллер, драма",194 мин.,США,Джеймс Кэмерон,«Ничто на Земле не сможет разлучить их»,"Леонардо ДиКаприо, Кейт Уинслет, Билли Зейн, Кэти Бейтс, Фрэнсис Фишер",8.371,7.9,"В первом и последнем плавании шикарного «Титаника» встречаются двое. Пассажир нижней палубы Джек выиграл билет в карты, а богатая наследница Роза отправляется в Америку, чтобы выйти замуж по расчёту. Чувства молодых людей только успевают расцвести, и даже не классовые различия создадут испытания влюблённым, а айсберг, вставший на пути считавшегося непотопляемым лайнера...."
56,Марсианин,The Martian,2015,"фантастика, приключения",144 мин.,"США, Великобритания, Венгрия, Иордания",Ридли Скотт,«Верните его домой»,"Мэтт Дэймон, Джессика Честейн, Чиветель Эджиофор, Кристен Уиг, Джефф Дэниелс",7.728,8,"Марсианская миссия «Арес-3» в процессе работы была вынуждена экстренно покинуть планету из-за надвигающейся песчаной бури. Инженер и биолог Марк Уотни получил повреждение скафандра во время песчаной бури. Сотрудники миссии, посчитав его погибшим, эвакуировались с планеты, оставив Марка одного.Очнувшись, Уотни обнаруживает, что связь с Землёй отсутствует, но при этом полностью функционирует жилой модуль. Главный герой начинает искать способ продержаться на имеющихся запасах еды, витаминов, воды и воздуха ещё 4 года до прилёта следующей миссии «Арес-4»...."
57,Исчезнувшая,Gone Girl,2014,"триллер, драма, детектив",149 мин.,США,Дэвид Финчер,"«Что имеем - не храним, потерявши - плачем»","Бен Аффлек, Розамунд Пайк, Нил Патрик Харрис, Тайлер Перри, Кэрри Кун",7.956,8.1,"Всё было готово для празднования пятилетия супружеской жизни, когда вдруг необъяснимо пропала виновница торжества. Остались следы борьбы в доме, кровь, которую явно пытались стереть, и цепочка подсказок в игре «охота за сокровищами» - жена ежегодно устраивала её для своего обожаемого мужа. И похоже, что эти подсказки дают шанс пролить свет на судьбу исчезнувшей...."
58,Я - легенда,I Am Legend,2007,"фантастика, боевик, триллер, драма, приключения",96 мин.,США,Френсис Лоуренс,«Последний человек на Земле не одинок»,"Уилл Смит, Алиси Брага, Чарли Тахэн, Салли Ричардсон-Уитфилд, Уиллоу Смит",7.863,7.2,"Неизвестный вирус унёс жизни половины населения земного шара, а остальную половину превратил в вампиров. Единственный уцелевший человек с иммунитетом к заболеванию ночами держит осаду упырей, а днем пытается найти противоядие и докопаться до причин эпидемии...."
59,Великий Гэтсби,The Great Gatsby,2013,"драма, мелодрама",143 мин.,"Австралия, США",Баз Лурман,"«Нельзя вернуть прошлое? Ну, конечно, можно!»","Леонардо ДиКаприо, Тоби Магуайр, Кэри Маллиган, Джоэл Эдгертон, Айла Фишер",7.943,7.2,"Весной 1922 года, в эпоху разлагающейся морали, блистательного джаза и «королей контрабандного алкоголя», Ник Каррауэй приезжает из Среднего Запада в Нью-Йорк. Преследуя собственную американскую мечту, он селится по соседству с таинственным, известным своими вечеринками миллионером Джеем Гэтсби, а на противоположном берегу бухты проживают его кузина Дэйзи и её муж, повеса и аристократ, Том Бьюкенен. Так Ник оказывается вовлечённым в захватывающий мир богатых - их иллюзий, любви и обманов. Он становится свидетелем происходящего в этом мире и пишет историю невозможной любви, вечных мечтаний и человеческой трагедии, которые являются отражением современных времен и нравов...."
60,Американская история X,American History X,1998,драма,119 мин.,США,Тони Кэй,«Преступление и наказание»,"Эдвард Нортон, Эдвард Ферлонг, Беверли Д'Анджело, Дженнифер Лиен, Итан Сапли",8.296,8.5,"Лидер местной банды скинхедов Дерек Виньярд прочно удерживает авторитет в своём районе. Убеждённый в своей правоте, он беспощадно расправляется с теми, кто имеет не белый цвет кожи. Независимость и смелость Дерека вызывают восхищение у его младшего брата Дэнни, который уже тоже сделал свой выбор.Но совершённое Дереком зверское убийство двух чернокожих парней разделяет дороги братьев: Дерек оказывается в тюрьме, где существует свой расклад сил, а Дэнни на свободе успешно продолжает дело брата. До тех пор, пока их пути не пересекаются вновь...."
61,Амели,Le Fabuleux destin d'Amélie Poulain,2001,"мелодрама, комедия",122 мин.,"Франция, Германия",Жан-Пьер Жёне,«Она изменит вашу жизнь»,"Одри Тоту, Матьё Кассовиц, Рюфюс, Лорелла Кравотта, Серж Мерлен",8.005,8.3,"Знаете ли вы, что все события, происходящие в нашем мире, даже самые незначительные, взаимосвязаны самым удивительным и чудесным образом?Как полет крошечной мухи может вызвать где-то далеко мощный ураган, так и странные и, на первый взгляд, непонятные поступки тихой и одинокой девушки, живущей в мире своих фантазий, могут навсегда изменить жизнь совершенно разных людей, подарив им счастье и раскрасив окружающий мир яркими красками. Эту девушку зовут Амели Пулен...."
62,Пол: Секретный материальчик,Paul,2011,"фантастика, комедия, приключения",104 мин.,"Великобритания, США",Грег Моттола,«Кто готов к тесному контакту?»,"Саймон Пегг, Ник Фрост, Сет Роген, Джейсон Бейтман, Кристен Уиг",7.23,6.9,"Два английских гика отправляются на одно из самых значимых фанатских событий в области фантастики - конвент ComicCon в Америке. По пути, неподалёку от известной Зоны 51, они встречают сбежавшего инопланетянина по имени Пол, который просит помочь ему добраться домой...."
63,Бешеные псы,Reservoir Dogs,1991,"криминал, драма, триллер",100 мин.,США,Квентин Тарантино,«Let's get the job done»,"Харви Кейтель, Тим Рот, Майкл Мэдсен, Крис Пенн, Стив Бушеми",8.114,8.3,"Это должно было стать идеальным преступлением. Задумав ограбить ювелирный магазин, криминальный босс Джо Кэбот собрал вместе шестерых опытных и совершенно незнакомых друг с другом преступников. Но с самого начала все пошло не так, и обычный грабеж превратился в кровавую бойню...."
64,Парфюмер: История одного убийцы,Perfume: The Story of a Murderer,2006,"фэнтези, драма, криминал",147 мин.,"Германия, Франция, Испания, США",Том Тыквер,«He lived to find beauty. He killed to possess it»,"Бен Уишоу, Дастин Хоффман, Алан Рикман, Рейчел Херд-Вуд, Биргит Минихмайр",7.706,7.5,"Жестокий, никогда не знавший любви, сирота Жан-Батист Гренуй настоящих успехов достиг лишь на одном поприще – среди парфюмеров ему никогда не было равных. По его духам сходит с ума весь высший свет, не подозревая о том, какой страшной ценой будет получен последний, идеальный аромат...."
65,Лицо со шрамом,Scarface,1983,"драма, криминал",170 мин.,США,Брайан Де Пальма,«The World Is Yours»,"Аль Пачино, Стивен Бауэр, Мишель Пфайффер, Мэри Элизабет Мастрантонио, Роберт Лоджа",8.17,8.3,"Весной 1980 года был открыт порт Мэйриэл Харбор, и тысячи кубинских беженцев ринулись в Соединенные Штаты на поиски Американской Мечты. Один из них нашел ее на залитых солнцем улицах Майами. Богатство, власть и страсть превзошли даже самые невероятные его мечты. Его звали Тони Монтана. Мир запомнил его под другим именем - «Лицо со шрамом»......"
66,Робот по имени Чаппи,Chappie,2015,"фантастика, боевик, триллер, драма, криминал",120 мин.,"США, ЮАР",Нил Бломкамп,«I am discovery. I am wonder. I am Chappie»,"Шарлто Копли, Дев Патель, Ниндзя, Йоланди Фиссер, Хосе Пабло Кантильо",7.186,6.8,"Чаппи - вундеркинд. Как и любой другой ребенок, он попадает под влияние своего окружения, и только его сердце и душа помогут ему найти свой путь. Но есть одна вещь, которая делает Чаппи непохожим на всех остальных: он – первый робот, способный чувствовать и думать...."
67,Сокровище нации,National Treasure,2004,"боевик, триллер, детектив, приключения",131 мин.,США,Джон Тёртлтауб,"«Эта тайна хранилась веками... Он думал, что почти разгадал её... Но она оказалась лишь еще одним звеном на пути к сокровищу»","Николас Кейдж, Дайан Крюгер, Джастин Барта, Шон Бин, Джон Войт",7.463,6.9,"Современные охотники за сокровищами во главе с Беном Франклином Гейтсом узнают старинную легенду о сокровище, спрятанном еще отцами-основателями американского государства Джорджем Вашингтоном, Бенджамином Франклином и Томасом Джефферсоном.Узнать тайну клада можно с помощью Декларации Независимости США, в которой зашифрована разгадка. Но помимо разгадывания изощренной головоломки, нашим героям предстоит сразиться с любителями легкой наживы, жаждущим погреть руки на достоянии республики…..."
68,Без лица,Face/Off,1997,"боевик, триллер, криминал, фантастика",138 мин.,США,Джон Ву,«Взгляни на мир глазами своего врага»,"Джон Траволта, Николас Кейдж, Джоан Аллен, Алессандро Нивола, Джина Гершон",7.793,7.3,"Чтобы раскрыть подробности запланированного преступниками крупного теракта, агент ФБР Шон Арчер соглашается на сложную хирургическую операцию. Он берёт себе новое лицо, лицо террориста Кастора Троя, который находится в коме.Однако происходит непредвиденное: Трой приходит в себя и исчезает в обличье Арчера. Жизнь Шона превращается в настоящий кошмар - ему приходится сражаться не только за свою жизнь, но и за жизнь своей жены и дочери...."
69,Мы из будущего,-,2008,"фантастика, боевик, приключения, военный, история",115 мин.,Россия,Андрей Малюков,-,"Данила Козловский, Дмитрий Волкострелов, Владимир Яглыч, Андрей Терентьев, Екатерина Климова",5.641,6.7,"Действие картины разворачивается в двух временных пластах: в наши дни и в годы войны, во время тяжелых оборонительных боев августа 1942-го. Главные герои ленты – четверо «черных следопытов» (людей этой сомнительной профессии называют также «черными копателями») – Борман, Череп, Чуха и Спирт. Они ведут раскопки в тех местах, где когда-то шли бои, чтобы потом продать найденные медали, ордена, документы и немецкое оружие.Дело это выгодное, но опасное. Однажды на месте раскопок начинает происходить нечто странное: в найденных солдатских книжках, принадлежавших погибшим солдатам Красной армии, вдруг обнаруживаются фотографии самих «следопытов». Пытаясь прийти в себя, коллеги по «черному» бизнесу отправляются купаться в озере и... попадают в 1942 год. В самый разгар тяжелых боев...."
70,Смертельная битва,Mortal Kombat,1995,"боевик, фэнтези, фантастика",101 мин.,США,Пол У. С. Андерсон,«Ничто в этом мире не сможет подготовить Вас к этому»,"Робин Шоу, Линден Эшби, Бриджит Уилсон, Кристофер Ламберт, Кэри-Хироюки Тагава",5.81,5.8,"Несколько столетий назад маг из другого мира Шан Цзун захватил древний воинский турнир. Его цель - ввергнуть наш мир в хаос. Чтобы спасти человечество от гибели, троим воинам предстоит смертельная битва с силами мрака...."
71,Мстители: Война бесконечности,Avengers: Infinity War,2018,"фантастика, боевик, приключения",149 мин.,США,"Энтони Руссо, Джо Руссо",«An entire universe. Once and for all»,"Роберт Дауни мл., Крис Хемсворт, Марк Руффало, Крис Эванс, Скарлетт Йоханссон",7.881,8.4,"Пока Мстители и их союзники продолжают защищать мир от различных опасностей, с которыми не смог бы справиться один супергерой, новая угроза возникает из космоса: Танос. Межгалактический тиран преследует цель собрать все шесть Камней Бесконечности - артефакты невероятной силы, с помощью которых можно менять реальность по своему желанию. Всё, с чем Мстители сталкивались ранее, вело к этому моменту – судьба Земли никогда ещё не была столь неопределённой...."
72,Достать ножи,Knives Out,2019,"детектив, комедия, драма, криминал",130 мин.,США,Райан Джонсон,«У каждого свой мотив»,"Дэниэл Крэйг, Ана де Армас, Крис Эванс, Джейми Ли Кёртис, Майкл Шеннон",8.021,7.9,"На следующее утро после празднования 85-летия известного автора криминальных романов Харлана Тромби виновника торжества находят мёртвым. Налицо - явное самоубийство, но полиция по протоколу опрашивает всех присутствующих в особняке членов семьи, хотя, в этом деле больше заинтересован частный детектив Бенуа Блан. Тем же утром он получил конверт с наличными от неизвестного и заказ на расследование смерти Харлана. Не нужно быть опытным следователем, чтобы понять, что все приукрашивают свои отношения с почившим главой семейства, но Блану достаётся настоящий подарок - медсестра покойного, которая физически не выносит ложь...."
73,Девчата,-,1962,"мелодрама, комедия",92 мин.,СССР,Юрий Чулюкин,-,"Надежда Румянцева, Николай Рыбников, Люсьена Овчинникова, Станислав Хитров, Инна Макарова",8.36,7.9,"В сибирский поселок приехала юная повариха Тося Кислицына - наивная и эксцентричная девчонка. Она сует свой нос во все дела, каждому стремится помочь. Местный красавец Илья на спор заводит с Тосей роман, сопровождающийся массой комичных ситуаций......"
74,Послезавтра,The Day After Tomorrow,2004,"фантастика, триллер, драма, приключения",124 мин.,США,Роланд Эммерих,«Где будешь ты?»,"Деннис Куэйд, Джейк Джилленхол, Эмми Россам, Дэш Майок, Джей О. Сэндерс",7.67,6.4,"Земля уверенно движется навстречу глобальной экологической катастрофе: в одной части света все живое погибает от засухи, в другой - разбушевавшаяся водная стихия сносит города.Близость катастрофы вынуждает ученого-климатолога, пытающегося найти способ остановить глобальное потепление, отправиться на поиски пропавшего сына в Нью-Йорк, в котором наступил новый ледниковый период…..."
75,Мальчишник в Вегасе,The Hangover,2009,комедия,96 мин.,США,Тодд Филлипс,«Некоторым Вегас просто не по зубам»,"Брэдли Купер, Эд Хелмс, Зак Галифианакис, Джастин Барта, Хизер Грэм",7.139,7.7,"Они мечтали устроить незабываемый мальчишник в Вегасе. Но теперь им необходимо вспомнить, что именно произошло: что за ребенок сидит в шкафу номера отеля? Как в ванную попал тигр? Почему у одного из них нет зуба? И, самое главное, куда делся жених? То, что парни вытворяли на вечеринке, не идет ни в какое сравнение с тем, что им придется сделать на трезвую голову, когда они будут шаг за шагом восстанавливать события прошлой ночи...."
76,Стажёр,The Intern,2015,"мелодрама, комедия",121 мин.,США,Нэнси Майерс,«Опыт всегда в моде»,"Роберт Де Ниро, Энн Хэтэуэй, Рене Руссо, Андерс Холм, ДжоДжо Кушнер",7.601,7.1,"70-летний вдовец Бен Уитакер обнаруживает, что выход на пенсию - еще не конец. Пользуясь случаем, он становится старшим стажером в интернет-магазине модной одежды под руководством Джулс Остин...."
77,Зодиак,Zodiac,2007,"триллер, детектив, драма, криминал",158 мин.,США,Дэвид Финчер,«Есть много способов умереть от руки убийцы»,"Джейк Джилленхол, Марк Руффало, Энтони Эдвардс, Роберт Дауни мл., Хлоя Севиньи",7.337,7.7,"На протяжении более 10 лет он держал в страхе весь Сан-Франциско. Общаясь с властями через репортёров, он в письмах жёстко упрекал полицию в бездействии. Зодиак то пропадал на время, то появлялся вновь. Порой полиция начинала сомневаться в том, что за очередным убийством стоял именно тот, за кем они так тщетно охотились, а не какой-нибудь имитатор. Однако и почерк убийств и письма репортёрам говорили о том, что Зодиак ещё не отошел от дел...."
78,Сияние,The Shining,1980,"триллер, драма, ужасы, детектив",144 мин.,"США, Великобритания",Стэнли Кубрик,«The Horror is driving him crazy»,"Джек Николсон, Шелли Дювалл, Дэнни Ллойд, Скэтмэн Крозерс, Бэрри Нельсон",7.269,8.4,"Джек Торренс с женой и сыном приезжает в элегантный отдалённый отель, чтобы работать смотрителем во время мертвого сезона. Торренс здесь раньше никогда не бывал. Или это не совсем так? Ответ лежит во мраке, сотканном из преступного кошмара...."
79,Убойные каникулы,Tucker and Dale vs Evil,2010,"ужасы, комедия",85 мин.,"Канада, США",Илай Крэйг,«Куча жертв... ни одного маньяка»,"Тайлер Лабин, Алан Тьюдик, Катрина Боуден, Джесси Мосс, Филип Грэйнджер",7.621,7.5,"Группа студентов отправляется за город, чтобы вовсю оторваться на выходных: попить пивка, поплавать в озере и подышать чистым лесным воздухом. Но уже в первый день они сталкиваются с неотесанными фермерами Такером и Дэйлом, также решившими как следует оттянуться на природе. Приняв этих диковатых, но, в сущности, безобидных ребят за злобных местных, горожане решают дать деревенщине жёсткий отпор...."
80,Интервью с вампиром,Interview with the Vampire: The Vampire Chronicles,1994,"драма, ужасы, фэнтези",123 мин.,США,Нил Джордан,«Испей моей крови и живи вечно»,"Том Круз, Брэд Питт, Стивен Ри, Антонио Бандерас, Кристиан Слэйтер",7.033,7.5,"К падкому на сенсации журналисту приходит вампир, чтобы поведать историю своей жизни. Все началось в 1791 году, когда молодой плантатор Луи, потеряв жену и ребенка, захотел умереть, но «родился для мрака» и обрёл вечную жизнь...."
81,Между небом и землей,Just Like Heaven,2005,"фэнтези, драма, мелодрама, комедия",95 мин.,США,Марк Уотерс,«Только любви все под силу»,"Риз Уизерспун, Марк Руффало, Донал Лог, Дина Спайби, Бен Шенкман",7.64,6.7,"Вселившись в арендованную квартиру в Сан-Франциско и начав наводить там порядок, Дэвид неожиданно встречает в своем новом жилище привлекательную молодую женщину Элизабет, которая уверяет его, что именно она является хозяйкой этих апартаментов.Когда же Дэвид начинает склоняться к мысли, что произошло какое-то недоразумение, Элизабет исчезает так же внезапно и загадочно, как и появилась. Замена замков не останавливает красотку: ее таинственные появления и исчезновения продолжают вносить сумятицу в жизнь Дэвида. Убедившись в том, что она привидение, Дэвид старается помочь ей навсегда остаться в потустороннем мире.Однако, открыв в себе невероятные возможности - например, способность проходить сквозь стены, - Элизабет начинает убеждать себя в том, что она каким-то образом еще жива и поэтому не собирается перебираться на тот свет насовсем. По мере того как оба пытаются выяснить истинную причину происходящего, Дэвид и Элизабет влюбляются друг в друга. Однако перспективы их совместной жизни становятся все более и более призрачными…..."
